308359062070902785,"('wyoming, mi', 'united states')",,"[42.9329654, -85.6949869]",none,,yuly_bedolla,his wife's all like you're luck you're sick lol
308359061953445890,"('maryland, us', 'united states')",d[m]v,"[39.16496839, -77.17048268]",central time (us & canada),,zay_nich,@hananel427 lololol you're not that special
308359062712631296,"('varina, va', 'united states')",fuqkn ' bxtchs w @iamjroddyrod,"[37.49310206, -77.37704954]",central time (us & canada),,_bxtchimflizi,only thing i ate today was a little asz sandwich
308359062758752256,"('lakewood, oh', 'united states')",,"[41.48498303, -81.82814843]",atlantic time (canada),,justin_socooll,@adina_spurlock oh yes lets get this going but if i lose don't tell nobody ctfuu
308359064906248192,"('corpus christi, tx', 'united states')",calallen,"[27.80691822, -97.49281635]",none,,courtneydiane5,ain't got time to talk just hi &amp; bi bitch.
308359065245978624,"('enterprise, nv', 'united states')",las vegas ,"[36.04250901, -115.25563139]",pacific time (us & canada),"['shoutout', 'sundaysbest']",sjroc869,#shoutout #sundaysbest @chefpsalmist_59 @_jordanworks @clarksisterfans @d_rocka601 @stefonhawkins @apollokid01 @ephlat1 @ricksinvictory @
308359065493454849,"('hauppauge, ny', 'united states')",,"[40.82921624, -73.18142397]",eastern time (us & canada),,s3lanne,@t_sizzlee my phone said we won?
308359065589915649,"('chicago, il', 'united states')","chicago, il",,central time (us & canada),,halliemeunier,happy birthday to one of my oldest enemies turned friends!! @amandauby i love you so much lady! yay for being legalll!!! #21
308359065740922880,"('georgia, us', 'united states')",ig: frenchkissah_,"[31.69035292, -83.99481268]",quito,['oomf'],frenchkissah_,i'm never really talking about #oomf when i say it cause they don't have a twitter
308359065686388737,"('', '')",philippines,"[14.41998627, 121.03821042]",singapore,['singapura'],toughkooky,turns out that i am somewhere near singapura rd. i missed my #singapura days. seriously.
308359065858351104,"('pikeville, ky', 'united states')",kentucky!,"[37.4815146, -82.5224807]",atlantic time (canada),['sadtweet'],606jazzy,the moment me and @deelaneyhackney had about graduating next year was to real... #sadtweet
308359066068078592,"('waukegan, il', 'united states')","waukegan, il","[42.34265767, -87.89944865]",none,,csisovsk,@eliisaguirre still a fluke or is michigan  the better team?
308359063861878784,"('kedaton, kota bandar lampung', 'indonesia')","bandar lampung , indonesia","[-5.3434342, 105.2376999]",jakarta,"['500aday', '1000aday', 'followme', 'followback', 'openfollow', 'autofollow', 'instantfollow', 'gofollow', 'teamfollowback', 'teamautofollow', 'jfb', 'f4f']",ayu_rohmaini,#500aday #1000aday #followme #followback #openfollow #autofollow #instantfollow #gofollow #teamfollowback #teamautofollow #jfb #f4f 764
308359066563014656,"('vidalia, ga', 'united states')",,"[32.2003371, -82.39940293]",eastern time (us & canada),,msgogettercole,sitting here watching the lion king bout to take a nap before work tonight
308359065682186240,"('city of bristol, city of bristol', 'united kingdom')",bristol,"[51.42173477, -2.57355529]",london,,katevealee,@nlberryman waiting for one direction.. lets go again!! http://t.co/pxbmt6hfjr
308359066739159040,"('rotherham, rotherham', 'united kingdom')",rotherham,"[53.4382534, -1.32877541]",none,,kellymaire1985,@writingsomestuf look forward to it night
308359068739833856,"('cardiff, cardiff', 'united kingdom')",,"[51.49352973, -3.1728356]",casablanca,,cassiebartlettx,@mitchelldear make sure ryan goes easy on the baloons!
